'Биотопливо v.0.1.1', 191, 'Lucoil'
'Биотопливо v.0.2.1', 192, 'Lucoil'
'Биотопливо v.0.3.1', 193, 'Lucoil'
'Биотопливо v.0.4.1', 194, 'Lucoil'
'Биотопливо v.0.5.1', 195, 'Lucoil'
'Биотопливо v.0.6.1', 196, 'Lucoil'
'Биотопливо v.0.7.1', 197, 'Lucoil'
'Биотопливо v.0.8.1', 198, 'Lucoil'
'Биотопливо v.1.0.1', 199, 'Lucoil'
'Биотопливо v.2.0.1', 1991, 'Lucoil'
'Биотопливо v.3.0.1', 1992, 'Lucoil'
'Биотопливо v.4.0.1', 1993, 'Lucoil'
'Биотопливо v.5.0.1', 1994, 'Lucoil'
'Биотопливо v.6.0.1', 1995, 'Lucoil'
'Биотопливо v.7.0.1', 1996, 'Lucoil'
'Биотопливо v.8.0.1', 1997, 'Lucoil'
'Биотопливо v.9.0.1', 1998, 'Lucoil'
'Биотопливо v.11.0.1', 1999, 'Lucoil'
'Биотопливо v.11.0.2', 199991, 'Lucoil'
'Биотопливо v.11.0.3', 199992, 'Lucoil'
