'Биотопливо v.11.0.0', 200000, 'Lucoil'
'Биотопливо v.11.0.1', 200001, 'Lucoil'
'Биотопливо v.11.0.2', 200002, 'Lucoil'
'Биотопливо v.11.0.3', 200003, 'Lucoil'
'Биотопливо v.11.0.4', 200004, 'Lucoil'
'Биотопливо v.11.0.5', 200005, 'Lucoil'
'Биотопливо v.11.0.6', 200006, 'Lucoil'
'Биотопливо v.11.0.7', 200007, 'Lucoil'
'Биотопливо v.11.0.8', 200008, 'Lucoil'
'Биотопливо v.11.0.9', 200009, 'Lucoil'
'Биотопливо v.11.0.10', 200010, 'Lucoil'
'Биотопливо v.11.0.11', 200011, 'Lucoil'
'Биотопливо v.11.0.12', 200012, 'Lucoil'
'Биотопливо v.11.0.13', 200013, 'Lucoil'
'Биотопливо v.11.0.14', 200014, 'Lucoil'
'Биотопливо v.11.0.15', 200015, 'Lucoil'
'Биотопливо v.11.0.16', 200016, 'Lucoil'
'Биотопливо v.11.0.17', 200017, 'Lucoil'
'Биотопливо v.11.0.18', 200018, 'Lucoil'
'Биотопливо v.11.0.19', 200019, 'Lucoil'
'Биотопливо v.11.0.20', 200020, 'Lucoil'
'Биотопливо v.11.0.21', 200021, 'Lucoil'
'Биотопливо v.11.0.22', 200022, 'Lucoil'
'Биотопливо v.11.0.23', 200023, 'Lucoil'
'Биотопливо v.11.0.24', 200024, 'Lucoil'
'Биотопливо v.11.0.25', 200025, 'Lucoil'
'Биотопливо v.11.0.26', 200026, 'Lucoil'
'Биотопливо v.11.0.27', 200027, 'Lucoil'
'Биотопливо v.11.0.28', 200028, 'Lucoil'
'Биотопливо v.11.0.29', 200029, 'Lucoil'
'Биотопливо v.11.0.30', 200030, 'Lucoil'
'Биотопливо v.11.0.31', 200031, 'Lucoil'
'Биотопливо v.11.0.32', 200032, 'Lucoil'
'Биотопливо v.11.0.33', 200033, 'Lucoil'
'Биотопливо v.11.0.34', 200034, 'Lucoil'
'Биотопливо v.11.0.35', 200035, 'Lucoil'
'Биотопливо v.11.0.36', 200036, 'Lucoil'
'Биотопливо v.11.0.37', 200037, 'Lucoil'
'Биотопливо v.11.0.38', 200038, 'Lucoil'
'Биотопливо v.11.0.39', 200039, 'Lucoil'
'Биотопливо v.11.0.40', 200040, 'Lucoil'
'Биотопливо v.11.0.41', 200041, 'Lucoil'
'Биотопливо v.11.0.42', 200042, 'Lucoil'
'Биотопливо v.11.0.43', 200043, 'Lucoil'
'Биотопливо v.11.0.44', 200044, 'Lucoil'
'Биотопливо v.11.0.45', 200045, 'Lucoil'
'Биотопливо v.11.0.46', 200046, 'Lucoil'
'Биотопливо v.11.0.47', 200047, 'Lucoil'
'Биотопливо v.11.0.48', 200048, 'Lucoil'
'Биотопливо v.11.0.49', 200049, 'Lucoil'
'Биотопливо v.11.0.50', 200050, 'Lucoil'
'Биотопливо v.11.0.51', 200051, 'Lucoil'
'Биотопливо v.11.0.52', 200052, 'Lucoil'
'Биотопливо v.11.0.53', 200053, 'Lucoil'
'Биотопливо v.11.0.54', 200054, 'Lucoil'
'Биотопливо v.11.0.55', 200055, 'Lucoil'
'Биотопливо v.11.0.56', 200056, 'Lucoil'
'Биотопливо v.11.0.57', 200057, 'Lucoil'
'Биотопливо v.11.0.58', 200058, 'Lucoil'
'Биотопливо v.11.0.59', 200059, 'Lucoil'
